Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5343917_forward	65.95486690901961	50.0	100.0	20.0	72397468.0
SRR5343917_reverse	52.952389808013145	50.0	100.0	20.0	72397468.0
SRR5343918_forward	64.28452222321465	50.0	100.0	10.0	81685413.0
SRR5343918_reverse	63.31098745288063	50.0	100.0	10.0	81685413.0
SRR5343919_forward	64.23428186227449	47.0	100.0	10.0	63320771.0
SRR5343919_reverse	61.44405270533026	47.0	100.0	10.0	63320771.0
SRR5343920_forward	65.88898254713621	49.0	100.0	10.0	68584414.0
SRR5343920_reverse	64.87498480856442	49.0	100.0	10.0	68584414.0
SRR5343921_forward	66.97622535534313	50.0	100.0	10.0	92701616.0
SRR5343921_reverse	65.51021359209327	50.0	100.0	10.0	92701616.0
SRR5343922_forward	66.1079924011245	50.0	100.0	20.0	99361565.0
SRR5343922_reverse	65.22182446792473	50.0	100.0	20.0	99361565.0
SRR5343923_forward	57.33811491106628	50.0	100.0	20.0	68649529.0
SRR5343923_reverse	55.18393534875878	50.0	100.0	20.0	68649529.0
SRR5343924_forward	62.60198393937977	50.0	100.0	20.0	66594303.0
SRR5343924_reverse	61.74703973520966	50.0	100.0	20.0	66594303.0
SRR5343925_forward	66.20870575383086	47.0	100.0	10.0	76472375.0
SRR5343925_reverse	63.69252161019884	47.0	100.0	10.0	76472375.0
SRR5343926_forward	63.6417259541402	51.0	100.0	10.0	70932969.0
SRR5343926_reverse	62.43334406037275	51.0	100.0	10.0	70932969.0
