Module	Section	Sample Name	Source
FastQC	all_sections	SRR5343921_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343921_forward_fastqc.zip
FastQC	all_sections	SRR5343919_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343919_reverse_fastqc.zip
FastQC	all_sections	SRR5343924_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343924_reverse_fastqc.zip
FastQC	all_sections	SRR5343920_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343920_forward_fastqc.zip
FastQC	all_sections	SRR5343919_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343919_forward_fastqc.zip
FastQC	all_sections	SRR5343923_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343923_forward_fastqc.zip
FastQC	all_sections	SRR5343922_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343922_reverse_fastqc.zip
FastQC	all_sections	SRR5343918_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343918_reverse_fastqc.zip
FastQC	all_sections	SRR5343925_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343925_forward_fastqc.zip
FastQC	all_sections	SRR5343926_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343926_forward_fastqc.zip
FastQC	all_sections	SRR5343918_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343918_forward_fastqc.zip
FastQC	all_sections	SRR5343922_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343922_forward_fastqc.zip
FastQC	all_sections	SRR5343917_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343917_reverse_fastqc.zip
FastQC	all_sections	SRR5343924_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343924_forward_fastqc.zip
FastQC	all_sections	SRR5343926_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343926_reverse_fastqc.zip
FastQC	all_sections	SRR5343917_forward	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343917_forward_fastqc.zip
FastQC	all_sections	SRR5343920_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343920_reverse_fastqc.zip
FastQC	all_sections	SRR5343923_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343923_reverse_fastqc.zip
FastQC	all_sections	SRR5343925_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343925_reverse_fastqc.zip
FastQC	all_sections	SRR5343921_reverse	/home/andrew/Documents/Github_Repositories/RASflow/output/Melanoma_GSE96619/fastqc/SRR5343921_reverse_fastqc.zip
